[4/40][300/504]	Loss_D: 0.6869	Loss_G: 2.1853	D(x): 0.6266	D(G(z)): 0.0884 / 0.2044
[4/40][350/504]	Loss_D: 0.4424	Loss_G: 3.3069	D(x): 0.8721	D(G(z)): 0.2275 / 0.0539
[4/40][400/504]	Loss_D: 1.0990	Loss_G: 1.0019	D(x): 0.4637	D(G(z)): 0.0358 / 0.4847
[4/40][450/504]	Loss_D: 1.6840	Loss_G: 6.5761	D(x): 0.9841	D(G(z)): 0.7008 / 0.0039
[4/40][500/504]	Loss_D: 0.7626	Loss_G: 4.6800	D(x): 0.9101	D(G(z)): 0.4176 / 0.0308
[5/40][0/504]	Loss_D: 0.5739	Loss_G: 2.3979	D(x): 0.8345	D(G(z)): 0.2346 / 0.1272
[5/40][50/504]	Loss_D: 0.9012	Loss_G: 2.0332	D(x): 0.6331	D(G(z)): 0.1955 / 0.2027
[5/40][100/504]	Loss_D: 0.6782	Loss_G: 4.0083	D(x): 0.9091	D(G(z)): 0.3789 / 0.0286
[5/40][150/504]	Loss_D: 0.4766	Loss_G: 2.4154	D(x): 0.7966	D(G(z)): 0.1472 / 0.1314
[5/40][200/504]	Loss_D: 2.0116	Loss_G: 0.2423	D(x): 0.2281	D(G(z)): 0.0144 / 0.8297
[5/40][250/504]	Loss_D: 0.7923	Loss_G: 4.9261	D(x): 0.9329	D(G(z)): 0.4413 / 0.0139
[5/40][300/504]	Loss_D: 0.6839	Loss_G: 1.5797	D(x): 0.6295	D(G(z)): 0.0771 / 0.2677
[5/40][350/504]	Loss_D: 0.6177	Loss_G: 3.9793	D(x): 0.8372	D(G(z)): 0.2963 / 0.0347
[5/40][400/504]	Loss_D: 0.6512	Loss_G: 3.3243	D(x): 0.7861	D(G(z)): 0.2628 / 0.1026
[5/40][450/504]	Loss_D: 0.7798	Loss_G: 4.9013	D(x): 0.8885	D(G(z)): 0.3898 / 0.0270
[5/40][500/504]	Loss_D: 0.6312	Loss_G: 3.6325	D(x): 0.8656	D(G(z)): 0.2954 / 0.0591
[6/40][0/504]	Loss_D: 0.5508	Loss_G: 3.6017	D(x): 0.8540	D(G(z)): 0.2470 / 0.0470
[6/40][50/504]	Loss_D: 1.9428	Loss_G: 0.1099	D(x): 0.2752	D(G(z)): 0.0307 / 0.9162
[6/40][100/504]	Loss_D: 0.7907	Loss_G: 1.1605	D(x): 0.5501	D(G(z)): 0.0496 / 0.3894
[6/40][150/504]	Loss_D: 0.5927	Loss_G: 4.9215	D(x): 0.9105	D(G(z)): 0.3367 / 0.0180
[6/40][200/504]	Loss_D: 1.1762	Loss_G: 7.0379	D(x): 0.9488	D(G(z)): 0.5773 / 0.0048
[6/40][250/504]	Loss_D: 2.1837	Loss_G: 0.6791	D(x): 0.2396	D(G(z)): 0.0393 / 0.6635
[6/40][300/504]	Loss_D: 0.8033	Loss_G: 5.6002	D(x): 0.9373	D(G(z)): 0.4431 / 0.0094
[6/40][350/504]	Loss_D: 0.3109	Loss_G: 3.4983	D(x): 0.8893	D(G(z)): 0.1476 / 0.0450
[6/40][400/504]	Loss_D: 0.4058	Loss_G: 4.6838	D(x): 0.9315	D(G(z)): 0.2450 / 0.0205
[6/40][450/504]	Loss_D: 0.4665	Loss_G: 2.3740	D(x): 0.7345	D(G(z)): 0.0500 / 0.1676
[6/40][500/504]	Loss_D: 1.0359	Loss_G: 7.2016	D(x): 0.9744	D(G(z)): 0.5176 / 0.0038
[7/40][0/504]	Loss_D: 3.4409	Loss_G: 9.9095	D(x): 0.9614	D(G(z)): 0.8464 / 0.0003
[7/40][50/504]	Loss_D: 0.3811	Loss_G: 3.5449	D(x): 0.9150	D(G(z)): 0.2138 / 0.0424
[7/40][100/504]	Loss_D: 0.5771	Loss_G: 2.5968	D(x): 0.6778	D(G(z)): 0.0588 / 0.1388
[7/40][150/504]	Loss_D: 0.9278	Loss_G: 1.9868	D(x): 0.6426	D(G(z)): 0.2464 / 0.2170
[7/40][200/504]	Loss_D: 0.5163	Loss_G: 2.4236	D(x): 0.6844	D(G(z)): 0.0468 / 0.1445
[7/40][250/504]	Loss_D: 0.6696	Loss_G: 5.7978	D(x): 0.9596	D(G(z)): 0.3941 / 0.0051
[7/40][300/504]	Loss_D: 0.3879	Loss_G: 5.0287	D(x): 0.9154	D(G(z)): 0.2201 / 0.0145
[7/40][350/504]	Loss_D: 1.5351	Loss_G: 5.2377	D(x): 0.8101	D(G(z)): 0.5712 / 0.0271
[7/40][400/504]	Loss_D: 0.7415	Loss_G: 1.7145	D(x): 0.6142	D(G(z)): 0.0772 / 0.2731
[7/40][450/504]	Loss_D: 0.4757	Loss_G: 2.8687	D(x): 0.7937	D(G(z)): 0.1368 / 0.0879
[7/40][500/504]	Loss_D: 0.8884	Loss_G: 1.4285	D(x): 0.5400	D(G(z)): 0.0654 / 0.3457
[8/40][0/504]	Loss_D: 0.9647	Loss_G: 1.6055	D(x): 0.5391	D(G(z)): 0.0599 / 0.3611
[8/40][50/504]	Loss_D: 0.3317	Loss_G: 3.1919	D(x): 0.8729	D(G(z)): 0.1472 / 0.0645
[8/40][100/504]	Loss_D: 0.4327	Loss_G: 3.6960	D(x): 0.7516	D(G(z)): 0.0502 / 0.0605
[8/40][150/504]	Loss_D: 0.3222	Loss_G: 3.2322	D(x): 0.8014	D(G(z)): 0.0499 / 0.0737
[8/40][200/504]	Loss_D: 0.6935	Loss_G: 5.4852	D(x): 0.9092	D(G(z)): 0.3547 / 0.0111
[8/40][250/504]	Loss_D: 0.3127	Loss_G: 4.4598	D(x): 0.9058	D(G(z)): 0.1510 / 0.0260
[8/40][300/504]	Loss_D: 0.4255	Loss_G: 4.6539	D(x): 0.9073	D(G(z)): 0.2321 / 0.0199
[8/40][350/504]	Loss_D: 0.4042	Loss_G: 4.8594	D(x): 0.8862	D(G(z)): 0.1786 / 0.0168
[8/40][400/504]	Loss_D: 0.5096	Loss_G: 3.2611	D(x): 0.7681	D(G(z)): 0.1412 / 0.0727
[8/40][450/504]	Loss_D: 0.4327	Loss_G: 3.6952	D(x): 0.8393	D(G(z)): 0.1715 / 0.0498
[8/40][500/504]	Loss_D: 0.4256	Loss_G: 3.1956	D(x): 0.8493	D(G(z)): 0.1841 / 0.0777
[9/40][0/504]	Loss_D: 0.4011	Loss_G: 4.7756	D(x): 0.9201	D(G(z)): 0.2222 / 0.0147
[9/40][50/504]	Loss_D: 0.2479	Loss_G: 3.5753	D(x): 0.8860	D(G(z)): 0.0971 / 0.0463
[9/40][100/504]	Loss_D: 0.1750	Loss_G: 4.3906	D(x): 0.9443	D(G(z)): 0.0994 / 0.0222
[9/40][150/504]	Loss_D: 0.5293	Loss_G: 6.2185	D(x): 0.9689	D(G(z)): 0.3283 / 0.0039
[9/40][200/504]	Loss_D: 0.5927	Loss_G: 2.1240	D(x): 0.7371	D(G(z)): 0.1504 / 0.1894
[9/40][250/504]	Loss_D: 0.6443	Loss_G: 3.5520	D(x): 0.7418	D(G(z)): 0.1762 / 0.0830
[9/40][300/504]	Loss_D: 0.4136	Loss_G: 2.7928	D(x): 0.7678	D(G(z)): 0.0705 / 0.1177
[9/40][350/504]	Loss_D: 0.3065	Loss_G: 3.2190	D(x): 0.8855	D(G(z)): 0.1233 / 0.0755
[9/40][400/504]	Loss_D: 4.2927	Loss_G: 0.0086	D(x): 0.0615	D(G(z)): 0.0100 / 0.9918
[9/40][450/504]	Loss_D: 0.4025	Loss_G: 4.2313	D(x): 0.8984	D(G(z)): 0.2149 / 0.0334
[9/40][500/504]	Loss_D: 0.4731	Loss_G: 3.2395	D(x): 0.7643	D(G(z)): 0.1185 / 0.0925
[10/40][0/504]	Loss_D: 0.2489	Loss_G: 4.5152	D(x): 0.9119	D(G(z)): 0.1176 / 0.0226
[10/40][50/504]	Loss_D: 0.2254	Loss_G: 3.8108	D(x): 0.9178	D(G(z)): 0.1106 / 0.0392
[10/40][100/504]	Loss_D: 0.1748	Loss_G: 3.6887	D(x): 0.8882	D(G(z)): 0.0395 / 0.0450
[10/40][150/504]	Loss_D: 0.2063	Loss_G: 4.4369	D(x): 0.9508	D(G(z)): 0.1248 / 0.0215
